sample_id,item_id,domain,error_type,problem,student_response,correct_answer,hint_rule,hint_llm,hint_hybrid,hint_gold,rule_rating,llm_rating,hybrid_rating,gold_rating,rater_notes
11,V042,algebra,sign,Factorise x² - 5x + 6,(x + 2)(x + 3),(x - 2)(x - 3),Correct! Your answer of (x + 2)(x + 3) matches the expected value.,"Pay attention to the sign of your answer. Check whether you need to add or subtract, and in which direction. (Refer back to: Factorise x² - 5x + 6...)",Correct! Your answer of (x + 2)(x + 3) matches the expected value.,"Check the signs inside the brackets. For x² - 5x + 6, both factors must be negative: (x - 2)(x - 3) = x² - 5x + 6. Expanding your answer (x+2)(x+3) gives x² + 5x + 6.",,,,,
12,V041,algebra,sign,Factorise x² - 5x + 6,(x + 2)(x + 3),(x - 2)(x - 3),Correct! Your answer of (x + 2)(x + 3) matches the expected value.,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Factorise x² - 5x + 6...),Correct! Your answer of (x + 2)(x + 3) matches the expected value.,"Check the signs inside the brackets. For x² - 5x + 6, both factors must be negative: (x - 2)(x - 3) = x² - 5x + 6. Expanding your answer (x+2)(x+3) gives x² + 5x + 6.",,,,,
13,V113,physics,sign,A force of 10N acts to the left and 4N acts to the right. What is the net force?,14N to the right,6N to the left,There's a calculation error somewhere. The correct answer is 6N to the left. Try working through each step again carefully.,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: A force of 10N acts to the left and 4N a...),There's a calculation error somewhere. The correct answer is 6N to the left. Try working through each step again carefully.,"When forces act in opposite directions, subtract them. The larger force (10N left) dominates, so the net force is 10 - 4 = 6N to the left.",,,,,
14,V083,physics,sign,A force of 10N acts to the left and 4N acts to the right. What is the net force?,14N to the right,6N to the left,There's a calculation error somewhere. The correct answer is 6N to the left. Try working through each step again carefully.,"Pay attention to the sign of your answer. Check whether you need to add or subtract, and in which direction. (Refer back to: A force of 10N acts to the left and 4N a...)",There's a calculation error somewhere. The correct answer is 6N to the left. Try working through each step again carefully.,"When forces act in opposite directions, subtract them. The larger force (10N left) dominates, so the net force is 10 - 4 = 6N to the left.",,,,,
15,V081,chemistry,sign,What is the oxidation state of sulfur in SO₄²⁻?,-2,+6,There's a calculation error somewhere. The correct answer is +6. Try working through each step again carefully.,"Pay attention to the sign of your answer. Check whether you need to add or subtract, and in which direction. (Refer back to: What is the oxidation state of sulfur in...)",There's a calculation error somewhere. The correct answer is +6. Try working through each step again carefully.,"You gave the oxidation state of oxygen, not sulfur. Oxygen is -2 each (×4 = -8 total), and the ion has charge -2, so sulfur must be +6 to balance: +6 + (-8) = -2.",,,,,
16,V057,algebra,sign,Factorise x² - 5x + 6,(x + 2)(x + 3),(x - 2)(x - 3),Correct! Your answer of (x + 2)(x + 3) matches the expected value.,Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: Factorise x² - 5x + 6...),Correct! Your answer of (x + 2)(x + 3) matches the expected value.,"Check the signs inside the brackets. For x² - 5x + 6, both factors must be negative: (x - 2)(x - 3) = x² - 5x + 6. Expanding your answer (x+2)(x+3) gives x² + 5x + 6.",,,,,
17,S04,chemistry,sign,What is the oxidation state of sulfur in SO₄²⁻?,-2,+6,There's a calculation error somewhere. The correct answer is +6. Try working through each step again carefully.,Well done! Your answer is correct. (Refer back to: What is the oxidation state of sulfur in...),There's a calculation error somewhere. The correct answer is +6. Try working through each step again carefully.,"You gave the oxidation state of oxygen, not sulfur. Oxygen is -2 each (×4 = -8 total), and the ion has charge -2, so sulfur must be +6 to balance: +6 + (-8) = -2.",,,,,
18,S05,algebra,sign,Solve: -3x > 12,x > -4,x < -4,Correct! Your answer of x > -4 matches the expected value.,"Pay attention to the sign of your answer. Check whether you need to add or subtract, and in which direction. (Refer back to: Solve: -3x > 12...)",Correct! Your answer of x > -4 matches the expected value.,"Remember: when you divide or multiply both sides of an inequality by a negative number, the inequality sign flips. Dividing by -3: x < -4.",,,,,
19,V092,biology,conceptual,In which stage of mitosis do chromosomes line up at the cell equator?,Prophase,Metaphase,Your answer doesn't match the expected response. The key concept here is: Metaphase,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: In which stage of mitosis do chromosomes...),Your answer doesn't match the expected response. The key concept here is: Metaphase,"In prophase, chromosomes condense and become visible. The lining up at the cell equator (metaphase plate) happens in metaphase — the stage after prophase.",,,,,
20,C03,chemistry,conceptual,What type of bond forms between sodium and chlorine in NaCl?,Covalent bond,Ionic bond,You have part of the answer. Make sure to also mention: Ionic bond,Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: What type of bond forms between sodium a...),Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: What type of bond forms between sodium a...),"Covalent bonds involve sharing electrons between atoms of similar electronegativity. Sodium (a metal) transfers an electron to chlorine (a non-metal), forming an ionic bond through electrostatic attraction.",,,,,
21,V079,physics,conceptual,What happens to the wavelength of a wave when its frequency doubles (speed constant)?,Wavelength doubles,Wavelength halves,You have part of the answer. Make sure to also mention: Wavelength halves,Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: What happens to the wavelength of a wave...),You have part of the answer. Make sure to also mention: Wavelength halves,"Wave speed = frequency × wavelength (v = fλ). If speed is constant and frequency doubles, wavelength must halve to keep the product the same.",,,,,
22,C04,physics,conceptual,What happens to the wavelength of a wave when its frequency doubles (speed constant)?,Wavelength doubles,Wavelength halves,You have part of the answer. Make sure to also mention: Wavelength halves,Well done! Your answer is correct. (Refer back to: What happens to the wavelength of a wave...),Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: What happens to the wavelength of a wave...),"Wave speed = frequency × wavelength (v = fλ). If speed is constant and frequency doubles, wavelength must halve to keep the product the same.",,,,,
23,C05,algebra,conceptual,"If f(x) = 2x + 3, what is f(5)?",f(5) = 13x,f(5) = 13,Correct! Your answer of f(5) = 13x matches the expected value.,"Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: If f(x) = 2x + 3, what is f(5)?...)",Correct! Your answer of f(5) = 13x matches the expected value.,"When evaluating a function at a specific value, substitute that number for x and compute the result. f(5) = 2(5) + 3 = 10 + 3 = 13 — a number, not an expression.",,,,,
24,C06,physics,conceptual,Iron is denser than wood. Which will sink in water?,Wood,Iron,Your answer doesn't match the expected response. The key concept here is: Iron,Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: Iron is denser than wood. Which will sin...),Your answer doesn't match the expected response. The key concept here is: Iron,"Objects denser than water (density > 1 g/cm³) sink. Iron has density ~7.8 g/cm³, wood ~0.5 g/cm³. Iron sinks.",,,,,
25,V088,chemistry,conceptual,What type of bond forms between sodium and chlorine in NaCl?,Covalent bond,Ionic bond,You have part of the answer. Make sure to also mention: Ionic bond,Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: What type of bond forms between sodium a...),Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: What type of bond forms between sodium a...),"Covalent bonds involve sharing electrons between atoms of similar electronegativity. Sodium (a metal) transfers an electron to chlorine (a non-metal), forming an ionic bond through electrostatic attraction.",,,,,
26,V069,algebra,conceptual,"If f(x) = 2x + 3, what is f(5)?",f(5) = 13x,f(5) = 13,Correct! Your answer of f(5) = 13x matches the expected value.,"Well done! Your answer is correct. (Refer back to: If f(x) = 2x + 3, what is f(5)?...)",Correct! Your answer of f(5) = 13x matches the expected value.,"When evaluating a function at a specific value, substitute that number for x and compute the result. f(5) = 2(5) + 3 = 10 + 3 = 13 — a number, not an expression.",,,,,
27,C02,biology,conceptual,In which stage of mitosis do chromosomes line up at the cell equator?,Prophase,Metaphase,Your answer doesn't match the expected response. The key concept here is: Metaphase,Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: In which stage of mitosis do chromosomes...),Your answer doesn't match the expected response. The key concept here is: Metaphase,"In prophase, chromosomes condense and become visible. The lining up at the cell equator (metaphase plate) happens in metaphase — the stage after prophase.",,,,,
28,U05,chemistry,unit,"How many grams is 2 moles of CO₂? (C=12, O=16)",28 g,88 g,There's a calculation error somewhere. The correct answer is 88 g. Try working through each step again carefully.,"Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: How many grams is 2 moles of CO₂? (C=12,...)",There's a calculation error somewhere. The correct answer is 88 g. Try working through each step again carefully.,The molar mass of CO₂ = 12 + (2×16) = 44 g/mol. For 2 moles: 2 × 44 = 88 g. You may have used the molar mass of CO (carbon monoxide) instead.,,,,,
29,V112,physics,unit,A force of 50 N acts on an area of 0.025 m². What is the pressure?,1.25 Pa,2000 Pa,There's a calculation error somewhere. The correct answer is 2000 Pa. Try working through each step again carefully.,Double-check your unit conversions. It helps to write out all the units and cancel them explicitly. (Refer back to: A force of 50 N acts on an area of 0.025...),There's a calculation error somewhere. The correct answer is 2000 Pa. Try working through each step again carefully.,"Pressure = Force ÷ Area. P = 50 N ÷ 0.025 m² = 2000 Pa. Check you divided, not multiplied.",,,,,
30,V051,physics,unit,A force of 50 N acts on an area of 0.025 m². What is the pressure?,1.25 Pa,2000 Pa,There's a calculation error somewhere. The correct answer is 2000 Pa. Try working through each step again carefully.,Double-check your unit conversions. It helps to write out all the units and cancel them explicitly. (Refer back to: A force of 50 N acts on an area of 0.025...),There's a calculation error somewhere. The correct answer is 2000 Pa. Try working through each step again carefully.,"Pressure = Force ÷ Area. P = 50 N ÷ 0.025 m² = 2000 Pa. Check you divided, not multiplied.",,,,,
31,V049,physics,unit,A runner completes a 5 km race in 25 minutes. What is their average speed in m/s?,0.2 m/s,3.33 m/s,There's a calculation error somewhere. The correct answer is 3.33 m/s. Try working through each step again carefully.,Double-check your unit conversions. It helps to write out all the units and cancel them explicitly. (Refer back to: A runner completes a 5 km race in 25 min...),There's a calculation error somewhere. The correct answer is 3.33 m/s. Try working through each step again carefully.,"Convert both units first: 5 km = 5000 m, 25 minutes = 1500 seconds. Speed = 5000 ÷ 1500 = 3.33 m/s.",,,,,
32,V066,physics,unit,A runner completes a 5 km race in 25 minutes. What is their average speed in m/s?,0.2 m/s,3.33 m/s,There's a calculation error somewhere. The correct answer is 3.33 m/s. Try working through each step again carefully.,Double-check your unit conversions. It helps to write out all the units and cancel them explicitly. (Refer back to: A runner completes a 5 km race in 25 min...),There's a calculation error somewhere. The correct answer is 3.33 m/s. Try working through each step again carefully.,"Convert both units first: 5 km = 5000 m, 25 minutes = 1500 seconds. Speed = 5000 ÷ 1500 = 3.33 m/s.",,,,,
33,U03,physics,unit,A runner completes a 5 km race in 25 minutes. What is their average speed in m/s?,0.2 m/s,3.33 m/s,There's a calculation error somewhere. The correct answer is 3.33 m/s. Try working through each step again carefully.,Review the underlying concept here. Make sure you're applying the right formula or principle for this type of problem. (Refer back to: A runner completes a 5 km race in 25 min...),There's a calculation error somewhere. The correct answer is 3.33 m/s. Try working through each step again carefully.,"Convert both units first: 5 km = 5000 m, 25 minutes = 1500 seconds. Speed = 5000 ÷ 1500 = 3.33 m/s.",,,,,
34,V093,chemistry,unit,"How many grams is 2 moles of CO₂? (C=12, O=16)",28 g,88 g,There's a calculation error somewhere. The correct answer is 88 g. Try working through each step again carefully.,"Pay attention to the sign of your answer. Check whether you need to add or subtract, and in which direction. (Refer back to: How many grams is 2 moles of CO₂? (C=12,...)",There's a calculation error somewhere. The correct answer is 88 g. Try working through each step again carefully.,The molar mass of CO₂ = 12 + (2×16) = 44 g/mol. For 2 moles: 2 × 44 = 88 g. You may have used the molar mass of CO (carbon monoxide) instead.,,,,,
35,U04,physics,unit,A force of 50 N acts on an area of 0.025 m². What is the pressure?,1.25 Pa,2000 Pa,There's a calculation error somewhere. The correct answer is 2000 Pa. Try working through each step again carefully.,"Pay attention to the sign of your answer. Check whether you need to add or subtract, and in which direction. (Refer back to: A force of 50 N acts on an area of 0.025...)",There's a calculation error somewhere. The correct answer is 2000 Pa. Try working through each step again carefully.,"Pressure = Force ÷ Area. P = 50 N ÷ 0.025 m² = 2000 Pa. Check you divided, not multiplied.",,,,,
36,U02,chemistry,unit,A solution contains 0.5 mol of NaCl in 250 mL. What is its concentration in mol/L?,0.5 mol/L,2 mol/L,There's a calculation error somewhere. The correct answer is 2 mol/L. Try working through each step again carefully.,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: A solution contains 0.5 mol of NaCl in 2...),There's a calculation error somewhere. The correct answer is 2 mol/L. Try working through each step again carefully.,"Concentration = moles ÷ volume in litres. 250 mL = 0.25 L, so concentration = 0.5 ÷ 0.25 = 2 mol/L.",,,,,
37,V065,physics,incomplete,A ball is thrown upward at 20 m/s. Describe its motion.,It goes up and then comes back down.,"It decelerates at 9.8 m/s² going up, reaches max height after 2.04 s, then accelerates downward at 9.8 m/s².","Your answer doesn't match the expected response. The key concept here is: It decelerates at 9.8 m/s² going up, reaches max height after 2.04 s, then accelerates downward at 9.8 m/s².",Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: A ball is thrown upward at 20 m/s. Descr...),Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: A ball is thrown upward at 20 m/s. Descr...),Your qualitative description is correct but needs quantitative detail. Gravity decelerates the ball at 9.8 m/s² throughout. Time to maximum height = 20 ÷ 9.8 ≈ 2.04 s.,,,,,
38,V119,algebra,incomplete,"Solve: x + y = 7, x - y = 3",x = 5,"x = 5, y = 2",Correct! Your answer of x = 5 matches the expected value.,"Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Solve: x + y = 7, x - y = 3...)",Correct! Your answer of x = 5 matches the expected value.,"You found x correctly. Now substitute x = 5 back into either equation to find y: 5 + y = 7, so y = 2.",,,,,
39,V047,chemistry,incomplete,What happens to the equilibrium of N₂ + 3H₂ ⇌ 2NH₃ when pressure increases?,The equilibrium shifts.,Equilibrium shifts to the right (toward NH₃) because that side has fewer moles of gas.,Your answer doesn't match the expected response. The key concept here is: Equilibrium shifts to the right (toward NH₃) because that side has fewer moles of gas.,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: What happens to the equilibrium of N₂ + ...),Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: What happens to the equilibrium of N₂ + ...),"Correct that the equilibrium shifts, but which direction and why? Increasing pressure favours the side with fewer moles of gas. Reactants have 4 moles (1+3), products have 2 moles, so equilibrium shifts right.",,,,,
40,V097,chemistry,incomplete,What happens to the equilibrium of N₂ + 3H₂ ⇌ 2NH₃ when pressure increases?,The equilibrium shifts.,Equilibrium shifts to the right (toward NH₃) because that side has fewer moles of gas.,Your answer doesn't match the expected response. The key concept here is: Equilibrium shifts to the right (toward NH₃) because that side has fewer moles of gas.,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: What happens to the equilibrium of N₂ + ...),Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: What happens to the equilibrium of N₂ + ...),"Correct that the equilibrium shifts, but which direction and why? Increasing pressure favours the side with fewer moles of gas. Reactants have 4 moles (1+3), products have 2 moles, so equilibrium shifts right.",,,,,
41,V075,algebra,incomplete,"Solve: x + y = 7, x - y = 3",x = 5,"x = 5, y = 2",Correct! Your answer of x = 5 matches the expected value.,"Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Solve: x + y = 7, x - y = 3...)",Correct! Your answer of x = 5 matches the expected value.,"You found x correctly. Now substitute x = 5 back into either equation to find y: 5 + y = 7, so y = 2.",,,,,
42,V117,biology,incomplete,Write the overall equation for photosynthesis.,CO₂ + H₂O → glucose,6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂,Your answer doesn't match the expected response. The key concept here is: 6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Write the overall equation for photosynt...),Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Write the overall equation for photosynt...),"Your answer captures the main idea but is missing several elements: the coefficients (6 for each molecule), light energy as a reactant, and oxygen (O₂) as a product.",,,,,
43,I02,biology,incomplete,Write the overall equation for photosynthesis.,CO₂ + H₂O → glucose,6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂,Your answer doesn't match the expected response. The key concept here is: 6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Write the overall equation for photosynt...),Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Write the overall equation for photosynt...),"Your answer captures the main idea but is missing several elements: the coefficients (6 for each molecule), light energy as a reactant, and oxygen (O₂) as a product.",,,,,
44,I04,chemistry,incomplete,What happens to the equilibrium of N₂ + 3H₂ ⇌ 2NH₃ when pressure increases?,The equilibrium shifts.,Equilibrium shifts to the right (toward NH₃) because that side has fewer moles of gas.,Your answer doesn't match the expected response. The key concept here is: Equilibrium shifts to the right (toward NH₃) because that side has fewer moles of gas.,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: What happens to the equilibrium of N₂ + ...),Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: What happens to the equilibrium of N₂ + ...),"Correct that the equilibrium shifts, but which direction and why? Increasing pressure favours the side with fewer moles of gas. Reactants have 4 moles (1+3), products have 2 moles, so equilibrium shifts right.",,,,,
45,V084,algebra,incomplete,"Solve: x + y = 7, x - y = 3",x = 5,"x = 5, y = 2",Correct! Your answer of x = 5 matches the expected value.,"Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Solve: x + y = 7, x - y = 3...)",Correct! Your answer of x = 5 matches the expected value.,"You found x correctly. Now substitute x = 5 back into either equation to find y: 5 + y = 7, so y = 2.",,,,,
46,V106,physics,correct,What is the weight of a 10 kg object on Earth (g = 9.8 m/s²)?,98 N,98 N,Correct! Your answer of 98 N matches the expected value.,Well done! Your answer is correct. (Refer back to: What is the weight of a 10 kg object on ...),Correct! Your answer of 98 N matches the expected value.,Correct! Weight = mass × gravitational acceleration = 10 × 9.8 = 98 N.,,,,,
47,V048,biology,correct,How many chromosomes does a human cell have after mitosis?,46,46,Correct! Your answer of 46 matches the expected value.,Well done! Your answer is correct. (Refer back to: How many chromosomes does a human cell h...),Correct! Your answer of 46 matches the expected value.,Correct! Mitosis produces daughter cells with the same chromosome number as the parent cell. Human somatic cells have 46 chromosomes (23 pairs).,,,,,
48,V101,physics,correct,A 2 kg ball falls 5 m. What is its kinetic energy just before hitting the ground? (g=10 m/s²),100 J,100 J,Correct! Your answer of 100 J matches the expected value.,Well done! Your answer is correct. (Refer back to: A 2 kg ball falls 5 m. What is its kinet...),Correct! Your answer of 100 J matches the expected value.,Excellent! KE = mgh = 2 × 10 × 5 = 100 J. You correctly applied conservation of energy.,,,,,
49,V076,algebra,correct,Solve for x: 4x + 8 = 24,x = 4,x = 4,Correct! Your answer of x = 4 matches the expected value.,Well done! Your answer is correct. (Refer back to: Solve for x: 4x + 8 = 24...),Correct! Your answer of x = 4 matches the expected value.,"Correct! You subtracted 8 from both sides to get 4x = 16, then divided by 4 to find x = 4.",,,,,
50,V095,algebra,correct,Solve for x: 4x + 8 = 24,x = 4,x = 4,Correct! Your answer of x = 4 matches the expected value.,Well done! Your answer is correct. (Refer back to: Solve for x: 4x + 8 = 24...),Correct! Your answer of x = 4 matches the expected value.,"Correct! You subtracted 8 from both sides to get 4x = 16, then divided by 4 to find x = 4.",,,,,
